,DalManagement,EventsAtDal,DalPres
1696,"{'date': '05/30/2017, 17:59:27', 'full_text': ""RT @Dalnews: #DalGrad Wendi Zhao's first trip to Canada was to study at @DalManagement.  Now, she plans to stay in #Halifax. https://t.co/v…""}",,"{'date': '06/18/2018, 23:01:23', 'full_text': '@annaatkbrs Thank you Anna for your kind words, and for your fabulous wise advice and support over the years!'}"
1697,"{'date': '05/30/2017, 16:59:48', 'full_text': 'RT @DalStudentLife: @DalManagement graduation at the @DalArtsCentre! Congratulations to everyone who walked across the stage today! \n@DalSt…'}",,"{'date': '06/18/2018, 23:00:48', 'full_text': 'RT @ritapurity: #Congrats to @DrCChambers, winner of the Merck Patients 1st Award. Humbled by ur accomplishments @DalPres @DalVPR https://t…'}"
1698,"{'date': '05/30/2017, 16:59:40', 'full_text': 'RT @AisRavichandran: @LaunchDal #steveblankhfx2017 # gearedup https://t.co/4RelUvqJyy'}",,"{'date': '06/18/2018, 23:00:32', 'full_text': ""@DrCChambers @bleadbetter @Dalnews Absolutely!  Thank you Dr. Chambers, it's a privilege working with you!""}"
1699,"{'date': '05/30/2017, 16:49:48', 'full_text': 'RT @DalMgmtDean: TODAY! Fireside chat with Steve Blank: https://t.co/zsQdEIe4eM'}",,"{'date': '06/18/2018, 17:26:42', 'full_text': '@WalkEatLive Thanks Megann, great to see you at #Dal200 in Toronto, and look forward to reconnecting.'}"
1700,"{'date': '05/30/2017, 16:49:32', 'full_text': 'Dr. Sergio Carvalho delivers the commencement address this afternoon. Watch live:  https://t.co/3gxDB2bHml #DalGrad https://t.co/n293K1pOFh'}",,"{'date': '06/18/2018, 17:09:46', 'full_text': '@MikeSavageHFX @Dalnews Thanks Mayor Savage for your very kind and generous words. What a privilege working together with you, building a better university, city, province and country.'}"
1701,"{'date': '05/30/2017, 16:47:23', 'full_text': 'RT @Dal_Alumni: Wow - congratulations to @mallorymills and family! Proud to count you among our 130,000+ #DalAlumni. https://t.co/44pEhNNSIc'}",,"{'date': '06/18/2018, 17:03:21', 'full_text': '@dk_munro Thanks Daniel!  Look forward to continuing to learn from you on innovation, and very pleased to hear about the skills work you will be doing with @univcan'}"
1702,"{'date': '05/30/2017, 16:28:41', 'full_text': 'Our MIM graduates have some proud supporters! #DalGrad @DALCFAME https://t.co/0a5Z1AEqIe'}",,"{'date': '06/18/2018, 17:00:36', 'full_text': '@sulemaan Thanks Sulemaan! Always appreciate your engagement and support.'}"
1703,"{'date': '05/30/2017, 16:12:43', 'full_text': 'MREM #DalGrad Lisa Ratte is headed for a career in environmental education. https://t.co/pZZGSUeNup'}",,"{'date': '06/18/2018, 16:52:50', 'full_text': ""@univcan @Dalnews Thanks to all @univcan colleagues and staff; it's a privilege to pursue such a noble cause with such great company. I look forward to continuing to connect with all of you in my new role in 2019.""}"
1704,"{'date': '05/30/2017, 16:07:07', 'full_text': 'RT @DalStudentLife: Congratulations to the 2017 Dalhousie Faculty of Management Graduates! #DalGrad #DalProud @DalManagement https://t.co/D…'}",,"{'date': '06/18/2018, 16:51:19', 'full_text': ""@CranstonAnna Thank YOU Anna - you have played such a pivotal leadership role in advancing WIL and Co-op at Dal -- something our students are keen to have, and employers are so enthusiastic about.  It's a pleasure working with you.""}"
1705,"{'date': '05/30/2017, 15:46:04', 'full_text': 'Convocation is underway for BMgmt, MBA, MLIS, MIM, MPA, and MPA(M). Tune in live: https://t.co/ASMb2LazmY #DalGrad https://t.co/pcmAMRndxe'}",,"{'date': '06/18/2018, 16:50:06', 'full_text': '@DalTigers @DalTigersAD .@DalTigersAD and @DalTigers ROCK'}"
1706,"{'date': '05/30/2017, 15:43:20', 'full_text': 'RT @sistabuttafly: Convocating with some smart, lovely peeps today. @DALCFAME @DalManagement #MPAM #DalGrad https://t.co/LrkMwa3D5D'}",,"{'date': '06/18/2018, 16:49:45', 'full_text': '@robannan Thanks Rob for your kind words! I look forward to continuing to connect with you in my new role in 2019.*'}"
1707,"{'date': '05/30/2017, 14:45:25', 'full_text': 'RT @Dal_Alumni: Book Launch – The Last Canadian Knight: The Unintended Business Adventure of Sir Graham Day. June 27 at Dal, RSVP: https://…'}",,"{'date': '06/18/2018, 16:48:35', 'full_text': ""@DalMedPhys Thanks @DalMedPhys, I'm excited about working more directly again in Physics and Engineering, including connecting with the Physics Dept at Dal.""}"
1708,"{'date': '05/30/2017, 14:45:11', 'full_text': 'RT @DalStudentLife: Congratulations Mahmoud Ahrari and other management students graduating at Dalhousie! @dalgrad@DalManagement @DalAlumni…'}",,"{'date': '06/18/2018, 16:46:52', 'full_text': '@DalhousieDad Thanks @DalhousieDad, always appreciate your engagement on Twitter, and will see you this fall again IRL!'}"
1709,"{'date': '05/30/2017, 14:44:16', 'full_text': 'RT @profng: Congratulations @DalManagement @RoweBusiness commerce &amp; management class of 2017! May you inspire and make the world a better p…'}",,"{'date': '06/18/2018, 16:46:12', 'full_text': ""@FSPAdirector @FSPADal Thanks Jacqueline! The Arts are such an important part of our university, and a defining feature of Nova Scotia. So excited to get our big project over the finish line in the next few months - let's get it done!""}"
1710,"{'date': '05/30/2017, 14:44:11', 'full_text': 'RT @CranstonAnna: Sending congratulations from the Pacific coast to all our @DalManagement @RoweBusiness @DalFoMAlumni. Seize the day and d…'}",,"{'date': '06/18/2018, 16:44:13', 'full_text': '@stewiacke_Pam Thanks Pam. Connecting with our students has been one of the very best parts of my job!'}"
1711,"{'date': '05/30/2017, 13:24:50', 'full_text': 'RT @michael_smit: It is truly a wonderful privilege to see #DalProud graduates every year, and to recognize their efforts at the @dalsimnew…'}",,"{'date': '06/18/2018, 16:43:47', 'full_text': '@DalhousieDad Indeed! A core competency!'}"
1712,"{'date': '05/30/2017, 13:18:03', 'full_text': '""Whether you like it or not, or know it or not, you’re coming of age at an extraordinary time in human development."" #HonDoc @sgblank https://t.co/bRSNX9MzSS'}",,"{'date': '06/18/2018, 16:43:31', 'full_text': ""@hardingcan @quantum_valley Thank so much Steve, it has been a privilege.  And we have 6+ more months to go, let's make a few more dents here in NS!""}"
1713,"{'date': '05/30/2017, 13:15:08', 'full_text': 'RT @Dalnews: .@sgblank receives his honorary degree from @DalChancellor &amp; @DalPres as part of @DalManagement #DalGrad ceremonies. #HonDoc #…'}",,"{'date': '06/18/2018, 16:42:55', 'full_text': '@DalTigers Our student athletes inspire me every day - and will continue to do so. Thank you @DalTigers for your commitment to academic and athletic excellence, and to strengthening our community.'}"
1714,"{'date': '05/30/2017, 13:14:47', 'full_text': 'Today we honour entrepreneurship innovator Steve Blank @sgblank. Watch his commencement address now: https://t.co/GSusCU91Ny https://t.co/N1kTXbws8S'}",,"{'date': '06/18/2018, 16:41:46', 'full_text': ""@CBagnellStyles Thank you Catherine, it's been a privilege working with you and this entire institution, finding common cause to strengthen our university, province and region.""}"
1715,"{'date': '05/30/2017, 13:05:29', 'full_text': ""RT @Dal_Alumni: Proud to welcome today's @DalManagement graduates to the #DalAlumni family! #DalGrad https://t.co/x9sEpbGgVP""}",,"{'date': '06/18/2018, 16:40:06', 'full_text': ""@DalhousieDad Thanks @DalhousieDad. And hey, I'm still here for 6+ months so make sure you message me on move-in day!""}"
1716,"{'date': '05/30/2017, 13:05:24', 'full_text': ""RT @DalChancellor: Wonderful to welcome Steve Blank @sgblank - a global leader in entrepreneurship theory &amp; education at today's #HonDoc @D…""}",,"{'date': '06/18/2018, 16:39:17', 'full_text': '@Sadobson_87 Thank you Sarah! It has truly been a privilege to work with fantastic students and leaders like you. Excited to see where life leads you after @SchulichLaw ! Someting great, I have no doubt.'}"
1717,"{'date': '05/30/2017, 12:55:20', 'full_text': '#DalGrad Ade Oyemade is responsible for a complex web of information. The MIM program helped her redefine her role. @DALCFAME @dalsimnews https://t.co/jAnDuDid3k'}",,"{'date': '06/18/2018, 15:46:29', 'full_text': ""@DalTigersAD @DalTigers High praise from the best Athletic Director I've ever met, leading coaches and student athletes who have inspired me every day of these past 5 years.  Thank you Tim!""}"
1718,"{'date': '05/30/2017, 12:13:53', 'full_text': 'RT @DalMgmtDean: Our own @DalManagement graduates are being honoured today. Congrats!  @DalMgmtDean @DalPres @DalChancellor #dalproud'}",,"{'date': '06/18/2018, 15:45:29', 'full_text': '@SRairdan Thanks Scott, I look forward to meeting you in Waterloo'}"
1719,"{'date': '05/30/2017, 12:12:40', 'full_text': ""RT @Dal_Alumni: Hats off to the @DalManagement Class of 2017! We're proud to welcome you to the global #DalAlumni family! #DalGrad https://…""}",,"{'date': '06/18/2018, 15:44:08', 'full_text': ""@bleadbetter @Dalnews Thank you Brian for your very kind and generous words - it's been a privilege working with you Brian, thorough all of these incredible years at Dal""}"
1720,"{'date': '05/30/2017, 12:12:24', 'full_text': ""RT @Dalnews: Today there are two #DalGrad ceremonies for @DalManagement. If you can't be there in-person, watch our webcast at https://t.co…""}",,"{'date': '06/18/2018, 14:50:39', 'full_text': '@DaveBDietz @chronicleherald Thanks Dave, very much looking forward to reconnecting with you in Waterloo!'}"
1721,"{'date': '05/30/2017, 12:11:33', 'full_text': 'Our BComm, MES and MREM convocation ceremony is starting! Tune into the live webcast at https://t.co/ASMb2LazmY #DalGrad https://t.co/0hF9f4c6XV'}",,"{'date': '06/18/2018, 14:48:13', 'full_text': ""@NanFijan Thanks so much Nancy for your very generous comments. I've been inspired by this whole community and the ways we've come together to advance teaching and learning, research, impact on the community, and diversity &amp; inclusion.""}"
1722,"{'date': '05/29/2017, 22:20:05', 'full_text': 'A toast to all our newest graduates! See you at the ceremonies tomorrow. #Dalgrad https://t.co/ehlVrQjyEQ'}",,"{'date': '06/18/2018, 14:46:07', 'full_text': ""@JamesGIS Thanks so much James.  I've been equally inspired by our chats on twitter and IRL. Keep up your great work and I look forward to continuing to connect in the coming months!""}"
1723,"{'date': '05/29/2017, 21:07:25', 'full_text': 'RT @DalMCS: Great to meet the family &amp; friends of some of our @DalManagement graduating students at the @DalMgmtDean convocation reception…'}",,"{'date': '06/18/2018, 14:30:23', 'full_text': ""@fishgovernance @hmpacker @savetheocean @buggee @GerhartzAbraham I'm sure we can still find time to meet! Email my chief of staff martha.casey@dal.ca with a couple of options and we'll make it work.""}"
1724,"{'date': '05/29/2017, 17:59:33', 'full_text': ""Congrats, Class of 2017! We're looking forward to celebrating with you tonight and tomorrow! See more on Facebook: https://t.co/TKr3E1hJ8p https://t.co/Dn4UEkqtfX""}",,"{'date': '06/18/2018, 14:26:36', 'full_text': '@AprilMacQueen Absolutely April!'}"
1725,"{'date': '05/29/2017, 17:43:01', 'full_text': 'RT @DalChancellor: Pleased to meet Sylvain Charlebois &amp; Bob Moody &amp; have lunch w/ some of their senior management group @DalMgmtDean, @DalM…'}",,"{'date': '06/18/2018, 14:23:49', 'full_text': '@fishgovernance Thank you Megan for your kind and generous thoughts. I am - and always will be - so inspired by incredible faculty like you  - excelling in teaching, research (a Canada Research Chair!), and advancing topics (like ocean governance) critical to our region and the world. #DalProud'}"
1726,"{'date': '05/29/2017, 16:40:16', 'full_text': '“I have always been interested in nature and the land,” says MES #DalGrad Shalan Joudry. https://t.co/9TOHHP812D https://t.co/0FF8dlLrDL'}",,"{'date': '06/18/2018, 14:20:22', 'full_text': 'RT @Dalnews: We wish @DalPres the very best as he takes on an exciting new role. https://t.co/DKiOSu4sVS 2/2'}"
1727,"{'date': '05/29/2017, 12:35:08', 'full_text': 'Connecting with researchers: #MLIS #DalGrad Deborah Hemming: https://t.co/33FV2UJ7rB @dalsimnews https://t.co/paYEBc2niw'}",,"{'date': '06/18/2018, 14:20:04', 'full_text': '@downtownpaul Thank you Paul, and thank you for your leadership in strengthening downtown Halifax. Strong cities = strong universities, and vice versa.'}"
1728,"{'date': '05/26/2017, 17:46:20', 'full_text': 'RT @MartineDurierC1: Dalhousie Faculty of Managenent celebration in Ottawa @DALCFAME @sltoze @DalMgmtDean @DalManagement https://t.co/P2AQM…'}",,"{'date': '06/18/2018, 14:18:59', 'full_text': ""@rgwooden Thanks Robert for your kind words, and for your own leadership in @DalMCS and @DalDPMG. The university truly can't achieve anything without talented and motivated staff, faculty and students like you.""}"
1729,"{'date': '05/26/2017, 17:33:06', 'full_text': ""RT @Dal_Alumni: Grads - don't forget to stop by the alumni photo booth after your ceremony and share your pics! #DalGrad @Dalnews https://t…""}",,"{'date': '06/18/2018, 14:17:23', 'full_text': '@lstordy Thanks Larry. As I\'ve said over and over, ""Nobody does anything alone.""  This community has incredible potential and power when it comes together, and I hope we\'ve proven that over the last 5 years.'}"
1730,"{'date': '05/25/2017, 19:33:47', 'full_text': 'RT @dalethics: We are excited to announce that nominations are NOW OPEN for the Scotiabank Ethical Leadership Award! #Scotiabank https://t.…'}",,"{'date': '06/18/2018, 14:16:30', 'full_text': ""@RovingHeather Wow, thank you Heather for your very kind words. If I've achieved that, then I will certainly have succeeded.""}"
1731,"{'date': '05/25/2017, 19:33:08', 'full_text': 'RT @DalMCS: Have you completed the @DalManagement Exit Survey yet? Your input helps us identify job market trends and opportunities PLUS yo…'}",,"{'date': '06/18/2018, 14:15:01', 'full_text': ""@AprilMacQueen And it has been a pleasure working with and getting to know you April! I'll be watching the webcast when your cross the stage, and remember to email me a selfie with that degree!""}"
1732,"{'date': '05/25/2017, 19:32:37', 'full_text': ""RT @Dalnews: Ben Bright &amp; Vijay Kumar's @StuGigCorp links students w/ work experiences @DalManagement @DalEngineering @Dal_Alumni https://t…""}",,"{'date': '06/18/2018, 14:14:10', 'full_text': '@jeremy_ryant Thanks Jeremy for your kind and generous words.  Working with students like you has been one of the greatest highlights of my career - keep reaching higher, building a better community and country for all!'}"
1733,"{'date': '05/24/2017, 21:57:53', 'full_text': ""We're looking forward to celebrating with our grads at our Dean's Reception on Monday! Don't forget to RSVP: https://t.co/Qf3sI3dwUM""}",,"{'date': '06/18/2018, 14:10:42', 'full_text': 'Thank you Larry for your kind words and great leadership. I am very proud of what this university, community and region have accomplished together - and people are just getting started. The past 5 years have been an amazing honour. A heartfelt thank you Dalhousie. #DalProud https://t.co/XV9PM7u4iJ'}"
1734,"{'date': '05/24/2017, 20:40:22', 'full_text': 'RT @DALCFAME: Adèle Poirier’s educational journey to an MPAM degree took focus and dedication but resulted in unexpected benefits. https://…'}",,"{'date': '06/17/2018, 14:23:11', 'full_text': 'RT @edleach: Wow! Past graduates of the LaunchPad accelerator include Graphene Innovations &amp; Technologies, Axem Neurotech, and TripNinja. O…'}"
1735,"{'date': '05/24/2017, 20:40:05', 'full_text': 'RT @Dal_Alumni: Please join author, educator &amp; thought leader Steve Blank, May 30 at Dal, to discuss innovation vs. entrepreneurship https:…'}",,"{'date': '06/15/2018, 18:36:23', 'full_text': 'RT @SScience_Hali: With less than 24 hours until @SoapboxScience Halifax, we would like to thank our financial sponsors who helped make thi…'}"
1736,"{'date': '05/24/2017, 15:50:10', 'full_text': 'RT @DalMCS: Complete our @DalManagement Exit Survey for your chance to WIN!! Check your Dal email for the link. https://t.co/46cTRdRNJt'}",,"{'date': '06/15/2018, 15:34:36', 'full_text': 'RT @DrCChambers: Science from a soapbox offers novel Halifax platform to raise profile of women in STEM https://t.co/9ACUXxuHNu via @toront…'}"
1737,"{'date': '05/24/2017, 15:50:07', 'full_text': 'RT @Dalnews: When it comes to food, @DalMgmtDean says that Gen Xers are a lost generation @DalManagement @scharleb @timescolonist https://t…'}",,"{'date': '06/15/2018, 14:07:15', 'full_text': 'RT @CarolynatDal: Andrew, Peter, and I close out the reception last evening! Thanks for coming and for all the generous remarks. Let’s go a…'}"
1738,"{'date': '05/23/2017, 16:39:06', 'full_text': 'RT @Dalnews: Visiting for #DalGrad &amp; looking for a place to meditate/pray? Info is available at Dalhousie Multifaith Centre https://t.co/ZU…'}",,"{'date': '06/15/2018, 13:22:42', 'full_text': 'RT @FEICanada: Larry Stordy, Partner @SM_Law introduces our Friday Opening Keynote address. We are pleased to have Dr. Richard Florizone @D…'}"
1739,"{'date': '05/19/2017, 12:35:21', 'full_text': ""RT @SBelliveauCTV: Here's some food for thought...a new study from DAL finds Atlantic Canadians eat lunch at their desk more than anywhere…""}",,"{'date': '06/15/2018, 13:22:09', 'full_text': 'Thanks @FEICanada for the invitation, and to Dal board chair @lstordy for the kind introduction. A privilege to showcase what we are achieving together in Atlantic Canada. https://t.co/TnyKe7r75E'}"
1740,"{'date': '05/19/2017, 12:34:38', 'full_text': 'RT @scharleb: ""Gen Xers took what was available to them. But along the way, they became the lost food generation."" https://t.co/BvJdJqdwfB'}",,"{'date': '06/15/2018, 13:20:35', 'full_text': 'RT @davidmcisaac: Becoming the next Silicon Valley is about building on your own Regions competitive and local advantages says Dr Richard F…'}"
1741,"{'date': '05/19/2017, 12:34:30', 'full_text': 'RT @Dal_FHP: Congrats to @scharleb\xa0@SimonSomogyi\xa0and @sflkirk\xa0on the release of their study into the eating habits of Canadians. @DalHPI ht…'}",,"{'date': '06/15/2018, 11:20:49', 'full_text': 'RT @CAPhys: Last day of #CAPCongress18 – a big thank you to the Local Organizing Committee, the volunteers, sponsors, CAP Members, presente…'}"
1742,"{'date': '05/19/2017, 12:34:22', 'full_text': 'RT @DalMgmtDean: Transformative for @RoweBusiness: @creativedlab expands startup program nationally https://t.co/n0TvB02Mlt @rotmanschool'}",,"{'date': '06/14/2018, 21:15:41', 'full_text': 'RT @FionaAtDal: Thank you--endlessly--@CarolynAtDal for all you have done! https://t.co/QxetUd1Cgx'}"
1743,"{'date': '05/19/2017, 12:34:15', 'full_text': 'RT @sblairreid: Our @Dal_Alumni love reading about one another - help us share your news https://t.co/oOPLxgghBh'}",,"{'date': '06/14/2018, 21:11:45', 'full_text': 'Fantastic crowd of well-wishers bidding farewell to Provost @CarolynatDal. Thank you Carolyn for your exceptional commitment and service to Dal, and all the best on the next stage of the journey! https://t.co/uP4uHZXhaN'}"
1744,"{'date': '05/19/2017, 12:34:03', 'full_text': 'RT @scharleb: Canada: A nation of breakfast-skippers and solitary diners https://t.co/34rDgaDgIe'}",,"{'date': '06/14/2018, 19:44:08', 'full_text': ""#TBT to @SchulichLaw convocation two weeks ago. Thanks Kimberly MacLachlan (JD/MBA '18) for sharing this photo! Kimberly now articling at @SM_Law here in Halifax. https://t.co/yeTZ23QfoO""}"
1745,"{'date': '05/19/2017, 12:32:54', 'full_text': 'RT @scharleb: 67 per cent of Canadians said they eat meals alone, most of the time: Dalhousie University https://t.co/BcB4oVN1DO https://t.…'}",,"{'date': '06/14/2018, 19:02:41', 'full_text': 'RT @DalGradStudies: Funding from @MitacsCanada is available for organizations to hire new STEM grads for projects related to climate change…'}"
1746,"{'date': '05/19/2017, 12:32:21', 'full_text': 'RT @entrevestor: . @CreativeDLab Unveils Halifax Program. @JRodgers To Head. Dal Rowe School is Partner | Entrevestor https://t.co/0qbl2qWr…'}",,"{'date': '06/14/2018, 16:38:51', 'full_text': ""RT @Dalnews: Each week throughout our 200th year, we'll celebrate a Dalhousie Original – pioneers, innovators, creators and thinkers who ma…""}"
1747,"{'date': '05/19/2017, 12:32:11', 'full_text': 'RT @scharleb: Dalhousie University study suggests 67% of Canadians eat meals alone, most of the time https://t.co/mdbjSn9MF5'}",,"{'date': '06/14/2018, 16:02:27', 'full_text': 'RT @DalDPMG: Thank you to all our DPMG Members for their contributions to our Institution! #DalProud @DalPres @HundredAcre @workatdal @ksom…'}"
1748,"{'date': '05/18/2017, 18:55:12', 'full_text': 'RT @scharleb: Low income earners are more likely to eat breakfast outside the home: Dalhousie study https://t.co/iXPIJblXE6'}",,"{'date': '06/14/2018, 01:15:35', 'full_text': ""RT @DalhousieChem: Congratulations to Prof. Alex Speed on receiving this year's President’s Research Excellence Emerging Investigators Awar…""}"
1749,"{'date': '05/18/2017, 18:54:55', 'full_text': 'RT @scharleb: Women three times more likely than men to skip breakfast: Dalhousie University study https://t.co/jXKoGasWmf'}",,"{'date': '06/14/2018, 00:07:06', 'full_text': 'RT @MargotALatimer: Fantastic day piloting Indigenous Health course with Elder Marshall &amp; team #meaningful #engagement  #TRCinaction #recon…'}"
1750,"{'date': '05/18/2017, 18:14:09', 'full_text': 'RT @Dalnews: Well done Sydni and congratulations!  #DalGrad #DalProud @dalmba @SchulichLaw https://t.co/sBeSPhuwae'}",,"{'date': '06/13/2018, 19:58:59', 'full_text': 'RT @Dalnews: 😍 A great shot of our newly opened @Dalplex addition, featuring a 13,000-sq-ft fitness hall: https://t.co/b9SqESoF3k https://t…'}"
1751,"{'date': '05/18/2017, 18:13:55', 'full_text': 'RT @Dalnews: Congratulations to @scharleb on the release of his latest research. @DalMgmtDean @DalManagement https://t.co/tNMATXVFfV'}",,"{'date': '06/13/2018, 19:57:27', 'full_text': 'RT @SBAtlantic: ICYMI: Last week we asked @entrevestor to take a deeper look at the relationship between startups and post-secondary\xa0instit…'}"
1752,"{'date': '05/18/2017, 18:13:37', 'full_text': 'RT @Dalnews: All grads can check their status in DalOnline today to confirm that they have graduated!  #DalGrad https://t.co/45cnjoS47o'}",,"{'date': '06/13/2018, 19:30:48', 'full_text': 'What a pleasure to host a welcome lunch for Dr. @Kate_L_Obrien, our new Canada 150 Research Chair in Vaccinology and Global Health and faculty member in @DalMedSchool. https://t.co/KYa0Dw2zs5 https://t.co/Xfp2VM0PMu'}"
1753,"{'date': '05/18/2017, 18:13:31', 'full_text': 'RT @scharleb: Only 36% of Quebecers eat lunch alone, while the figure is 61% in Ontario: Dalhousie study https://t.co/cjj4glJY0o'}",,"{'date': '06/12/2018, 01:13:45', 'full_text': 'RT @CAPhys: Thank you to our 2018 Herzberg Memorial Lecturer Dr. Nergis Mavalvala for an engaging talk about discovering Einstein’s gravita…'}"
1754,"{'date': '05/18/2017, 16:42:27', 'full_text': 'RT @LaunchDal: Are you as excited as us? Seats are filling up but you can still RSVP here: https://t.co/yCTxDZF6zt https://t.co/Q8bKpndxqE'}",,"{'date': '06/12/2018, 00:15:40', 'full_text': 'A beautiful June evening on campus #Dal200 https://t.co/D9y8k3VRz4'}"
1755,"{'date': '05/18/2017, 14:09:02', 'full_text': ""RT @CBContheisland: What does a new study reveal about Canadians' eating patterns? @GregorCraigie asks the lead author, @scharleb NEXT.""}",,"{'date': '06/12/2018, 00:10:59', 'full_text': 'An honour to welcome @MIT and @LIGO scientist, Dr. Nergis Mavalvala, to Dalhousie for the Herzberg Memorial Lecture. Thank you for an incredibly engaging discussion about the 100-year quest to discover Einstein’s gravitational waves https://t.co/kN6UMQQK4y'}"
1756,"{'date': '05/18/2017, 13:57:19', 'full_text': ""RT @Dalnews: #DalhousieU's @RoweBusiness &amp; @creativedlab partner to help Atl Canadian ventures develop into high-growth companies https://t…""}",,"{'date': '06/11/2018, 23:21:57', 'full_text': 'RT @DalhousieILI: Congratulations @springloadedtec on your nominations for the @ManningAwardsCA and the Export Achievement Award from @NSBI…'}"
1757,"{'date': '05/18/2017, 13:56:27', 'full_text': 'RT @DALCFAME: Fireside Chat with Steve Blank, honorary degree recipient on Tuesday, May 30th at 4pm @DalManagement # https://t.co/wiSjIWYI0z'}",,"{'date': '06/11/2018, 22:14:06', 'full_text': 'Congratulations @CoachAStamm! https://t.co/rbC0srqyfT'}"
1758,"{'date': '05/17/2017, 17:00:55', 'full_text': 'RT @Dalnews: .@scharleb discusses the impact artificial intelligence could have on what you buy at grocery stores @DalManagement https://t.…'}",,"{'date': '06/11/2018, 14:47:50', 'full_text': 'RT @DalScience: Tonight! @MIT &amp; @LIGO scientist Prof. Negris Mavalvala is here to deliver @CAPhys 2018 Herzberg Memorial Lecture. Join us t…'}"
1759,"{'date': '05/17/2017, 16:59:55', 'full_text': 'RT @Hunter_dal: It was fundamental in contributing to whatever success I have obtained....” M Archibald on choosing the #MBAFS https://t.co…'}",,"{'date': '06/10/2018, 19:48:42', 'full_text': 'RT @DalScience: Public lecture: hear from @MIT &amp; @LIGO scientist Prof. Negris Mavalvala on the 100 year quest to discover Einstein’s gravit…'}"
1760,"{'date': '05/17/2017, 16:59:32', 'full_text': 'RT @Hunter_dal: Online Information Sessions-MBA Financial Services &amp; MBA Leadership today, Master of Information Management tomorrow, sign…'}",,"{'date': '06/10/2018, 15:02:47', 'full_text': 'RT @RobinMcNeilHRP: It is a beautiful sunny day for final day of @SpecialONS #summergames soccer and basketball both playing @Dalnews . We…'}"
1761,"{'date': '05/17/2017, 16:59:18', 'full_text': ""RT @scharleb: Who's snacking, and who's not in #Canada? Find out when Dalhousie University releases its study on eating habits, TOMORROW! h…""}",,"{'date': '06/09/2018, 14:25:02', 'full_text': 'RT @Chuchu5066: We are certainly having a lots of fun planning trees around Dal campus!!! Go team! @DalManagement @DalFoMAlumni #DAL200 #Da…'}"
1762,"{'date': '05/17/2017, 16:59:00', 'full_text': ""RT @michael_smit: I'm the expert cited to remind people that public information is public. :) https://t.co/6aW1Q2AUVc""}",,"{'date': '06/09/2018, 14:24:59', 'full_text': 'RT @CranstonAnna: Having such a great time with Jun and Mary planting #dal200trees @RoweBusiness @DalManagement https://t.co/9vsxQzxOLK'}"
1763,"{'date': '05/17/2017, 16:57:23', 'full_text': 'RT @DALFamBus: Excited with @DalExecEd and @DalMCS at the @halifaxchamber Grow Halifax Tradeshow! Stop by to see us-learn how we can help y…'}",,"{'date': '06/09/2018, 14:23:50', 'full_text': 'RT @KTerna: Morning yoga with #SON2013 @DalNursing @DalHealth @gailtomblin @DalPres @Dalnews https://t.co/g8JlXUhxix'}"
1764,"{'date': '05/17/2017, 16:57:12', 'full_text': ""RT @Dal_Alumni: What's new w/ you #DalAlumni? We're collecting #classnotes. Please help us share your news! Submit by May 22 https://t.co/2…""}",,"{'date': '06/09/2018, 01:39:34', 'full_text': '@sulemaan That’s unfortunate. Please connect with @Dal_Alumni and ensure we have your correct email address. See you next time'}"
1765,"{'date': '05/17/2017, 16:57:01', 'full_text': 'RT @michael_smit: Tonight on @CBCTheNational, @Brett_CBC and I talk about social media, #nspoli, and the long memory of the Internet.'}",,"{'date': '06/09/2018, 00:42:47', 'full_text': '@sulemaan Was just 24 hrs - now back in Halifax'}"
1766,"{'date': '05/17/2017, 16:56:50', 'full_text': 'RT @Hunter_dal: CFAME Ottawa Reception, May 25, rsvp to cfame@dal.ca @Dal_Alumni @DalManagement @DalAlumniOttawa \nhttps://t.co/P1kBoaVGmP'}",,"{'date': '06/08/2018, 23:46:56', 'full_text': 'RT @FerneDowney: The #dalhousie coast to coast 200th  birthday tour bus rolled into TO. Love my alma mater. They brought lobster rolls &amp; bl…'}"
1767,"{'date': '05/16/2017, 18:23:20', 'full_text': 'RT @Open_JIM: OpenGovernment: Tensions in structure &amp; culture affect #information &amp; #dialogue - Jeffrey Roy @DalManagement https://t.co/AZD…'}",,"{'date': '06/08/2018, 23:46:47', 'full_text': 'RT @CarolynatDal: Fiona has been a truly amazing AVP Academic at Dal. What a privilege to work with her!! @FionaAtDal https://t.co/aOoKSZCC…'}"
1768,"{'date': '05/16/2017, 18:23:12', 'full_text': 'RT @workatdal: Last session of the day happening now, ""Differentiate yourself during your job search"", Binod Sundararajan, @DalManagement.…'}",,"{'date': '06/08/2018, 20:12:37', 'full_text': 'RT @MikeSavageHFX: Super excited that my prodigal godson @msqg23 Michael Shoveller will come to @mbb_dal for his last year of College Ball.…'}"
1769,"{'date': '05/16/2017, 18:23:09', 'full_text': 'RT @michael_smit: Tonight on @CBCNS TV, @tommurphycbc and I talk about the long memory of social media, which has pushed 3 candidates out o…'}",,"{'date': '06/08/2018, 19:49:52', 'full_text': '@FerneDowney @MikeSavageHFX @Dal_Alumni Thank you for joining Dr. Downey! And for your stellar support of @FSPADal.'}"
